Sort,Data filename,Start,End,Runtime (s),cpu_clk_unhalted.thread_any,cpu_clk_unhalted.thread_any:k,cpu_clk_unhalted.thread_any:u,cs,cs:k,cs:u,dtlb_load_misses.miss_causes_a_walk,dtlb_load_misses.miss_causes_a_walk:k,dtlb_load_misses.miss_causes_a_walk:u,dtlb_load_misses.walk_active,dtlb_load_misses.walk_active:k,dtlb_load_misses.walk_active:u,dtlb_store_misses.miss_causes_a_walk,dtlb_store_misses.miss_causes_a_walk:k,dtlb_store_misses.miss_causes_a_walk:u,dtlb_store_misses.walk_active,dtlb_store_misses.walk_active:k,dtlb_store_misses.walk_active:u,faults,faults:k,faults:u,inst_retired.any,inst_retired.any:k,inst_retired.any:u,migrations,migrations:k,migrations:u
4,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-33-43-007011919.mmu,0x5555b6400000,0x5555e6c00000,7269.041295,6591720633358,1856632050879,4741117494296,15420349,15420349,0,4847532483,777782693,4068517540,549929221309,51644830260,498584084347,668968163,63869182,604619671,42550641952,4168723855,38429279678,568310,27675,540635,4768521492481,1448811041557,3318647976383,0,0,0
4,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-37-24-854596946.mmu,0x5555b6400000,0x5555e6c00000,7520.075023,6651019747279,2028881070752,4615239236578,15987272,15987272,0,5603268969,1400437268,4196071362,548360243142,68644966277,478239863272,776676060,164600365,610153596,43044239160,6232032904,36677429236,595978,25672,570306,4885294355372,1546246040869,3333279939874,0,0,0
4,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-03-41-31-144857125.mmu,0x5555b6400000,0x5555e6c00000,8110.170921,6649584909524,1895771507056,4757365418273,15648997,15648997,0,5492998173,1339229559,4148240456,572462142594,64431413651,508482931060,688698256,82026775,605813718,41909389915,4563792288,37320857576,738785,31257,707528,4804761435123,1457589643309,3347336720124,0,0,0
4,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-28-02-29-31-516305267.mmu,0x5555b6400000,0x5555e6c00000,7120.009152,6550918070675,1972382463138,4574732695579,15811529,15811529,0,6026374466,1869466440,4155715015,544834189716,72608882359,471642786536,679013967,69945987,603869361,39253415589,3521092495,35620384562,653245,24929,628316,4817031499228,1502735839147,3310795973491,0,0,0
4,/p/multifacet/users/markm/results3/cbmm//exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-30-08-56-02-248056620.mmu,0x5555b6400000,0x5555e6c00000,7787.114654,6650118208244,1948831866491,4705012955930,15945572,15945572,0,5598901042,1413301145,4176318129,562782001748,68924287818,491944006670,659023049,62066335,595300880,40649830768,4046478153,36443321498,1043905,41918,1001987,4833714413219,1485424432015,3343646282293,0,0,0
5,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-04-14-35-247974110.mmu,0x5555e6c00000,0x555617400000,7040.048868,6564288231551,1897382976448,4670173870386,15552784,15552784,0,5437244080,1377865508,4058022876,546117371522,64716221103,479795520053,711641937,106364005,605153093,42320926174,5271179192,36811700978,566507,24083,542424,4727051868347,1446692419723,3283817459741,0,0,0
5,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-04-17-10-331116439.mmu,0x5555e6c00000,0x555617400000,8163.152426,6619830724817,1889434528163,4730394927023,15702062,15702062,0,5265357931,1183932540,4080610572,565363193063,60909161493,503746568407,672065203,61327365,607725925,41620836190,3588455214,37839485233,1161264,52642,1108622,4781530951010,1459185357156,3324809686577,0,0,0
5,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-05-39-23-860512131.mmu,0x5555e6c00000,0x555617400000,6785.892857,6624019080892,1867393352994,4764377215453,15658438,15658438,0,5099302978,1029529506,4066811664,562604959601,53233247969,509231901747,737952066,126527642,613697368,44253492218,6098923072,38287792468,623283,25033,598250,4764271941216,1452465128615,3313426433717,0,0,0
5,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-10-53-807461435.mmu,0x5555e6c00000,0x555617400000,7037.997686,6556827663457,1887035315403,4666764836407,15696371,15696371,0,5226305501,1223449574,4002690060,540716829530,63606166105,476428824717,679747004,69723568,613439197,41611103873,4085852107,37775766426,512003,24517,487486,4770206038227,1451959705914,3314012428054,0,0,0
5,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-28-03-30-41-535859857.mmu,0x5555e6c00000,0x555617400000,7284.045013,6550998377499,1890232180788,4666127000377,15648697,15648697,0,4917321055,801767746,4114916860,537278718716,50846872547,485801396549,657773047,49624065,607337259,40538472757,3364762269,37177962654,575794,26952,548842,4750528407320,1459473949670,3294654983281,0,0,0
6,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-12-30-312427080.mmu,0x555617400000,0x555647c00000,7907.122061,6591893735403,1893406068406,4705553426979,15531010,15531010,0,4884634386,860592017,4027191226,542715627856,56303676209,484815981966,712542968,99754190,613067144,42118613130,4920204315,37157361064,2888767,66477,2822377,4785139010358,1466174467308,3319056328683,0,0,0
6,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-12-30-866041552.mmu,0x555617400000,0x555647c00000,7259.018269,6589098470254,1974937817606,4626264675526,15885737,15885737,0,5496017556,1322918003,4180011480,536965849362,65721746609,471131680768,681690312,64203890,617977392,41130196223,4226972849,37001786188,2167205,106508,2060697,4831714350199,1514691158484,3321644475408,0,0,0
6,/p/multifacet/users/markm/results3/cbmm/j/exp_10__bare_metal__-workload__MongoDB____op_count__9500000__read_prop__0.25__update_prop__0.375__tmpfs_size__null__cache_size__null__-transparent_hugepage_enabled_never_-transparent_hugepage_huge_add-2021-11-24-06-15-05-917568615.mmu,0x555617400000,0x555647c00000,8160.153192,6675228367846,2013222646726,4665112685563,15932493,15932493,0,5904420784,1754067502,4154010989,549394871702,76670186208,472367682611,710320160,73278070,638302997,41620581362,4002918077,37588520924,3760360,225030,3535330,4875275000014,1524654018022,3348368815962,0,0,0
